review,label_vader,label_flair,label_zeroshot
this cured my depression and brought it back full force in the span of 2 hours,negative,positive,positive
Love this movie more than I love myself,positive,positive,positive
I've taken all of your criticisms into account and have determined that you're all wrong.,negative,negative,negative
la la land makes me want to be alive for one hour and fifty minutes then sebastian says welcome to seb's and it makes me want to be dead,positive,positive,negative
“No Jamal...you be trippin.”,negative,negative,negative
the whole ‘what could've been’ sequence continues to be the reason for my death.,negative,negative,negative
It’s insane how there’s still haters of this movie bruh like imma put you in a saw trap,negative,negative,negative
no YOU live in a society i live in la la land,negative,negative,negative
"amy: you can just tell us a story :) mia: about? amy: you can just tell us anything :) mia: amy: whenever you're ready :) mia: ................... my aunt used to live in paris. I remember, she used to come home and she would tell us these stories about being abroad. and I remember, she told us that she jumped into the river once. barefoot. she smiled... leapt without looking .... aNd tumbled into... the seine.... the water was freezing....…",positive,positive,positive
THEY BELIEVED IN EACH OTHER SO MUCH!!!!!!!! THEY WERE SO IN LOVE!!!!!!!!!!! I'M A FUCKING WRECK!!!!!!!!!!!!,positive,negative,negative
this movie is like a double-edged sword because a) it makes me really fucking happy b) it makes me really fucking sad c) it makes me want to stab myself with said sword,negative,positive,negative
･ ｡ ☆city∴｡　* ･ﾟ*of｡★･ ･ stars｡　　 * ･ ﾟ*｡･ﾟare★｡ ☆ﾟ･｡you°*. ﾟ *　　ﾟ｡·*･｡shining ﾟ* ﾟ *.｡just ☆｡★　･ * ☆ ｡･ﾟfor*.｡ *　★ ﾟme･｡ * ｡ ･　　ﾟ☆ ｡ Happy La La Land dayyyy!,positive,positive,positive
I enjoy the 2016 Damien Chazelle film La La Land .,positive,positive,positive
"the type of movie that makes me wanna drive alone all night long, reminiscing about moments I’ve never lived",negative,positive,negative
"I want to take some time to talk about the Epilogue of the film. I've heard many different theories about what the Epilogue truly means. The reality is the idea that true love is being willing to make sacrifices. In this Epilogue, Sebastian was far more willing to make sacrifices for Mia than she was for him. There is a scene earlier on in the film that beautifully foreshadows the entire story. The scene after Sebastian finds Mia's keys and…",positive,positive,positive
singin' in the pain,negative,negative,negative
"I cried like a baby, got some loud assholes kicked out of the theater, and accidentally got into the wrong car and scared the shit out of some random lady! BEST NIGHT! I FUCKING LOVE LA LA LAND! BEST MOVIE EVER!",positive,positive,positive
why was john legend such a jump-scare,negative,negative,negative
ryan gosling got that golden globe for being the first person ever to act miserable while playing take on me - aha,negative,negative,positive
"""5 years later"" is where I draw the line",positive,positive,negative
Why does the opening song have the same melody as the crab rave song,positive,negative,negative
I love Ryan Gosling I love Emma Stone I love City of stars I love Another day of sun I love someone in the crowd I love the cinematography I love the costumes I love the acting I LOVE THIS MOVIE.,positive,positive,positive
"i literally have not and will not ever see a movie better than this, we really do not deserve movies this good.",positive,negative,negative
free serotonin!,positive,positive,positive
damien chazelle saw the ‘gotta go my own way’ scene in high school musical 2 and really made a whole movie out of it,positive,positive,positive
it’s a perfect movie,positive,positive,positive
sebastian has set up such unrealistic expectations for men. they should all just give up,positive,negative,negative
due to personal reasons i will be passing away,positive,negative,negative
watched this on the flight to LA and it put me in such a good mood im gonna dance down the I-405 and i don't care if some dude in a lamborghini going 500mph fucking annihilates me,positive,positive,positive
that post about how emma stone looks like a bitmoji ruined my fucking life,negative,negative,negative
"Jacques Demy for the digital age... walks the uneasy bridge between romance and reality almost as nimbly as Singin' in the Rain did the one between silent films and talkies. i think this is a more difficult — and more rewarding — film than some people are expecting, or will be interested in seeing. the way it disintegrates from the technicolor to the quotidian, from a romance about movies to a movie about romance... it's a bold move, executed to…",positive,positive,positive
i think i’ve seen this film before and i didn’t like the ending,positive,negative,negative
Insane how this movie can make you both extremely happy and extremely sad,negative,positive,positive
"Good news for everyone who hates this film: this is the first time I've watched it that made me go ""hmmm okay parts of this movie are very very corny."" Bad news for those same people: I still think the opening is so beautiful and celebratory and exuberant in a way I want more movies to be, I still think Emma Stone is so fucking fantastic and deserved the Best Actress Oscar, and Damien Chazelle deserved his Best Director Oscar! This movie rules!!!!!!!!",positive,negative,positive
watched again with the hope that the end would magically change,positive,positive,positive
i want emma stone and ryan gosling to tap dance on my face,positive,positive,negative
the reason i love la la land so much is because it captured a feeling... sky with no ceiling... the sunset without a frame,positive,positive,positive
"i realize i’m such a cliché for saying this, but this movie really is the reason why i’m out here. it’s the reason i do anything . i’ve heard every complaint and critique and i just don’t care - this is the purest form of movie magic i’ve ever experienced and simply one of the most impactful and influential movies i’ve ever seen period . it never shies away from how hard it is out here and how damn near impossible it is…",positive,positive,positive
"Rewatched this because Dunkey told me to and surprise surprise it's still magnificent. I'm not super into Ryan Gosling's performance but the gorgeous cinematography, breathtaking musical numbers, electric romantic chemistry, and sublime writing perfectly illustrate why Damien Chazelle is an absolute master of his craft. Not quite as perfect as Whiplash, but it does have the slightly better ending. Hell, maybe the best ending I've ever seen in a movie.",positive,positive,positive
"Perfect movie, perfect movie, perfect movie, perfect movie. Never not hitting.",positive,positive,positive
what do you mean you don't like jazz?,negative,positive,negative
