rating,review,review_length,word_count
5.0,this cured my depression and brought it back full force in the span of 2 hours,78,16
4.5,Love this movie more than I love myself,39,8
5.0,I've taken all of your criticisms into account and have determined that you're all wrong.,89,15
5.0,la la land makes me want to be alive for one hour and fifty minutes then sebastian says welcome to seb's and it makes me want to be dead,136,29
4.5,“No Jamal...you be trippin.”,28,4
5.0,the whole ‘what could've been’ sequence continues to be the reason for my death.,80,14
5.0,It’s insane how there’s still haters of this movie bruh like imma put you in a saw trap,87,18
5.0,no YOU live in a society i live in la la land,45,12
5.0,"amy: you can just tell us a story :) mia: about? amy: you can just tell us anything :) mia: amy: whenever you're ready :) mia: ................... my aunt used to live in paris. I remember, she used to come home and she would tell us these stories about being abroad. and I remember, she told us that she jumped into the river once. barefoot. she smiled... leapt without looking .... aNd tumbled into... the seine.... the water was freezing....…",445,80
5.0,THEY BELIEVED IN EACH OTHER SO MUCH!!!!!!!! THEY WERE SO IN LOVE!!!!!!!!!!! I'M A FUCKING WRECK!!!!!!!!!!!!,107,16
5.0,this movie is like a double-edged sword because a) it makes me really fucking happy b) it makes me really fucking sad c) it makes me want to stab myself with said sword,168,33
5.0,･ ｡ ☆city∴｡　* ･ﾟ*of｡★･ ･ stars｡　　 * ･ ﾟ*｡･ﾟare★｡ ☆ﾟ･｡you°*. ﾟ *　　ﾟ｡·*･｡shining ﾟ* ﾟ *.｡just ☆｡★　･ * ☆ ｡･ﾟfor*.｡ *　★ ﾟme･｡ * ｡ ･　　ﾟ☆ ｡ Happy La La Land dayyyy!,158,35
5.0,I enjoy the 2016 Damien Chazelle film La La Land .,50,11
5.0,"the type of movie that makes me wanna drive alone all night long, reminiscing about moments I’ve never lived",108,19
5.0,"I want to take some time to talk about the Epilogue of the film. I've heard many different theories about what the Epilogue truly means. The reality is the idea that true love is being willing to make sacrifices. In this Epilogue, Sebastian was far more willing to make sacrifices for Mia than she was for him. There is a scene earlier on in the film that beautifully foreshadows the entire story. The scene after Sebastian finds Mia's keys and…",445,80
5.0,singin' in the pain,19,4
5.0,"I cried like a baby, got some loud assholes kicked out of the theater, and accidentally got into the wrong car and scared the shit out of some random lady! BEST NIGHT! I FUCKING LOVE LA LA LAND! BEST MOVIE EVER!",211,41
4.5,why was john legend such a jump-scare,37,7
3.5,ryan gosling got that golden globe for being the first person ever to act miserable while playing take on me - aha,114,22
5.0,"""5 years later"" is where I draw the line",40,9
4.5,Why does the opening song have the same melody as the crab rave song,68,14
5.0,I love Ryan Gosling I love Emma Stone I love City of stars I love Another day of sun I love someone in the crowd I love the cinematography I love the costumes I love the acting I LOVE THIS MOVIE.,195,41
5.0,"i literally have not and will not ever see a movie better than this, we really do not deserve movies this good.",111,22
5.0,free serotonin!,15,2
5.0,damien chazelle saw the ‘gotta go my own way’ scene in high school musical 2 and really made a whole movie out of it,116,24
5.0,it’s a perfect movie,20,4
5.0,sebastian has set up such unrealistic expectations for men. they should all just give up,88,15
5.0,due to personal reasons i will be passing away,46,9
5.0,watched this on the flight to LA and it put me in such a good mood im gonna dance down the I-405 and i don't care if some dude in a lamborghini going 500mph fucking annihilates me,179,37
3.5,that post about how emma stone looks like a bitmoji ruined my fucking life,74,14
4.5,"Jacques Demy for the digital age... walks the uneasy bridge between romance and reality almost as nimbly as Singin' in the Rain did the one between silent films and talkies. i think this is a more difficult — and more rewarding — film than some people are expecting, or will be interested in seeing. the way it disintegrates from the technicolor to the quotidian, from a romance about movies to a movie about romance... it's a bold move, executed to…",450,80
4.5,i think i’ve seen this film before and i didn’t like the ending,63,13
5.0,Insane how this movie can make you both extremely happy and extremely sad,73,13
5.0,"Good news for everyone who hates this film: this is the first time I've watched it that made me go ""hmmm okay parts of this movie are very very corny."" Bad news for those same people: I still think the opening is so beautiful and celebratory and exuberant in a way I want more movies to be, I still think Emma Stone is so fucking fantastic and deserved the Best Actress Oscar, and Damien Chazelle deserved his Best Director Oscar! This movie rules!!!!!!!!",455,83
5.0,watched again with the hope that the end would magically change,63,11
5.0,i want emma stone and ryan gosling to tap dance on my face,58,13
5.0,the reason i love la la land so much is because it captured a feeling... sky with no ceiling... the sunset without a frame,122,24
